----------------------------------------------------------------------
Marvellous Process Log
Log file create at : Wed Aug 14 12:54:28 2024
----------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'} 
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM'} 
{'name': 'HPPrintScanDoctorService.exe', 'pid': 68, 'username': None} 
{'name': '', 'pid': 108, 'username': None} 
{'name': 'Registry', 'pid': 144, 'username': None} 
{'name': 'services.exe', 'pid': 348, 'username': None} 
{'name': 'LsaIso.exe', 'pid': 528, 'username': None} 
{'name': 'smss.exe', 'pid': 572, 'username': None} 
{'name': 'lsass.exe', 'pid': 600, 'username': None} 
{'name': 'csrss.exe', 'pid': 868, 'username': None} 
{'name': 'wininit.exe', 'pid': 952, 'username': None} 
{'name': 'csrss.exe', 'pid': 972, 'username': None} 
{'name': 'winlogon.exe', 'pid': 1124, 'username': None} 
{'name': 'svchost.exe', 'pid': 1132, 'username': None} 
{'name': 'spoolsv.exe', 'pid': 1168, 'username': None} 
{'name': 'fontdrvhost.exe', 'pid': 1192, 'username': None} 
{'name': 'fontdrvhost.exe', 'pid': 1240, 'username': None} 
{'name': 'WUDFHost.exe', 'pid': 1248, 'username': None} 
{'name': 'svchost.exe', 'pid': 1268, 'username': None} 
{'name': 'dwm.exe', 'pid': 1336, 'username': None} 
{'name': 'svchost.exe', 'pid': 1344, 'username': None} 
{'name': 'svchost.exe', 'pid': 1388, 'username': None} 
{'name': 'svchost.exe', 'pid': 1476, 'username': None} 
{'name': 'svchost.exe', 'pid': 1544, 'username': None} 
{'name': 'svchost.exe', 'pid': 1552, 'username': None} 
{'name': 'svchost.exe', 'pid': 1564, 'username': None} 
{'name': 'msedgewebview2.exe', 'pid': 1596, 'username': 'SATISH\\Satish'} 
{'name': 'conhost.exe', 'pid': 1608, 'username': 'SATISH\\Satish'} 
{'name': 'IntelCpHDCPSvc.exe', 'pid': 1652, 'username': None} 
{'name': 'svchost.exe', 'pid': 1660, 'username': None} 
{'name': 'svchost.exe', 'pid': 1672, 'username': None} 
{'name': 'svchost.exe', 'pid': 1728, 'username': None} 
{'name': 'svchost.exe', 'pid': 1736, 'username': None} 
